"id_cliente","compras_online","compras_locales","productos_online","productos_locales","servicios_comprados","gasto_online","gasto_local","fecha_ultima_compra_online","fecha_ultima_compra_local","dias_desde_ultima_compra_online","dias_desde_ultima_compra_local","cliente_sin_compras","producto_preferido","categoria_preferida","marca_preferida","presentacion_preferida","servicio_preferido"
"0017f1b8-04b2-4d17-8113-72966993930e",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"0042c869-25d2-4bdb-92e5-b1cc78ad477f",1,1,2,2,2,624.00,500.00,"2026-06-19","2026-06-07",33,45,0,"01 Fit Me Tint","Maquillaje","MAYBELLINE","Única","Depilaciones Cera y Navaja"
"0080a2f5-a03f-445c-be2d-e65856bf847b",2,1,4,1,1,1651.00,535.00,"2026-03-12","2025-06-23",132,394,0,"Mashera Ialuronico","Tratamiento capilar","AVYNA","250ml","Corte de Cabello Dama"
"013650fd-0e20-40c2-8bd1-cd2cdbf24495",2,4,3,13,13,1668.00,5540.00,"2026-03-27","2026-03-15",117,129,0,"Fluido Di Argan","Tratamiento capilar","AVYNA","100ml","Corte de Cabello Dama"
"01e6eefa-cbb5-40b8-94c0-54714b2b9f9d",12,16,69,49,49,36141.00,17252.50,"2026-07-02","2026-07-01",20,21,0,"Silk System Shine 300ml","Tratamiento capilar","AVYNA","300ml","Corte de Cabello Dama"
"01ea0ccd-c355-463c-a1e6-df998553f028",1,0,2,0,0,716.50,0.00,"2026-06-29","Sin compra local",23,-1,0,"Shampoo Di Argan","Shampoo","AVYNA","500ml","No compró servicios"
"0224897b-36b3-4a8a-81f7-99f2fcd79f96",7,10,29,23,23,10156.00,7959.00,"2026-06-03","2026-05-27",49,56,0,"Mashera Di Goji","Tratamiento capilar","AVYNA","100ml","Corte de Cabello Dama"
"026b5723-c3b6-4836-8351-118eabf54036",2,3,4,7,7,1628.00,2564.50,"2026-05-19","2026-05-14",64,69,0,"Finale Ialuronico Rellenador Capilar","Tratamiento capilar","AVYNA","200ml","Corte de Cabello Dama"
"02b16d6a-07e8-4811-9593-4ba15924c15b",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"02ceb1d9-cd3c-44b8-b04a-068c8cb29c7b",7,9,35,20,20,11045.00,6819.75,"2026-05-30","2026-05-24",53,59,0,"Riconstruttore Argan","Tratamiento capilar","AVYNA","250ml","Corte de Cabello Dama"
"03181f4c-f335-49a2-9bc9-fef0e421b0fd",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"03258fc0-b2dd-4e4c-b4a3-8dfaee41cd1a",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"03448b7f-9ced-4933-8df8-ad6333b8e212",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"03843658-4d2f-4dd3-a4c3-47c308d5cac7",7,5,30,10,10,10140.50,4208.50,"2026-06-14","2026-07-15",38,7,0,"Bifasico Ialuroico","Tratamiento capilar","AVYNA","200ml","Corte de Cabello Dama"
"03bfa108-eeb3-44fb-964c-3109092be699",2,1,6,1,1,1739.00,120.00,"2026-04-24","2025-12-22",89,212,0,"Definition Liquid Gel 300ml","Producto de peinado","NBC","300ml","Depilaciones Cera y Navaja"
"03c25f9a-2fdd-427d-bba0-7e0c7e7a2380",1,0,1,0,0,429.00,0.00,"2026-07-07","Sin compra local",15,-1,0,"Xtra Fixx Gel 300ml","Producto de peinado","NBC","300ml","No compró servicios"
"045f459c-2a71-4095-ad15-aaa8d4d441ff",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"04988873-53a9-4d42-92e4-b1b339051684",2,1,3,1,1,1452.00,360.00,"2026-01-02","2025-02-13",201,524,0,"Bifasico Ialuroico","Tratamiento capilar","AVYNA","200ml","Corte de Cabello Dama"
"05099569-8c8d-4a59-94c4-abaf4304148a",7,3,25,7,7,9960.00,2957.75,"2026-04-24","2025-01-17",89,551,0,"Shampoo Di Agave","Shampoo","AVYNA","500ml","Corte de Cabello Dama"
"059304ec-7b30-4dda-be90-1f35c834f8df",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"05a030c8-a0d8-4bb0-8a89-f24f443184d3",2,1,5,2,2,1718.00,730.00,"2026-04-10","2024-12-31",103,568,0,"Protector Termico Leclat","Protector térmico","AVYNA","380ml","Corte de Cabello Dama"
"06253491-7e85-432c-9f1f-57b1cb21266a",1,0,4,0,0,1470.00,0.00,"2026-07-09","Sin compra local",13,-1,0,"Lozione Di Agave","Tratamiento capilar","AVYNA","50ml","No compró servicios"
"0666e259-3962-47dd-8945-b05386d09c3e",2,2,6,5,5,2257.50,2075.00,"2026-03-24","2025-12-26",120,208,0,"Gel Extra Forte","Producto de peinado","AVYNA","500ml","Botox Capilar"
